step,win_rate
79,0.0
10107,0.0
20134,0.0
30193,0.0
40201,0.09375
50308,0.0
60357,0.0625
70425,0.0
80450,0.03125
90502,0.0
100544,0.1875
110563,0.15625
120629,0.0
130635,0.0
140671,0.03125
150675,0.0
160682,0.0
170751,0.03125
180781,0.0
190861,0.0
200905,0.0
210938,0.0
220967,0.0
230990,0.03125
241090,0.0
251102,0.09375
261153,0.0
271161,0.0
281191,0.0
291195,0.0
301202,0.0
311210,0.125
321303,0.03125
331374,0.0
341402,0.0
351464,0.0
361482,0.0
371609,0.03125
381620,0.0
391630,0.03125
401677,0.0
411705,0.0
421759,0.0
431772,0.125
441876,0.0
451902,0.0
461930,0.0
472035,0.0
482045,0.09375
492063,0.0
502103,0.0
512169,0.0
522210,0.125
532224,0.03125
542346,0.0
552356,0.0
562360,0.0625
572377,0.0
582412,0.03125
592462,0.125
602542,0.0
612619,0.0
622630,0.0
632686,0.03125
642745,0.03125
652768,0.21875
662807,0.0
672812,0.0
682937,0.15625
692971,0.0
703068,0.0
713127,0.0
723160,0.0
733217,0.125
743225,0.0
753270,0.0
763290,0.0
773339,0.0625
783346,0.09375
793379,0.0
803383,0.125
813441,0.03125
823458,0.125
833462,0.03125
843496,0.34375
853555,0.03125
863579,0.1875
873587,0.0
883639,0.0
893684,0.0
903762,0.0
913789,0.0
923849,0.0
933863,0.59375
943911,0.0
953911,0.125
963936,0.09375
973976,0.15625
984020,0.0
994025,0.0
1004089,0.0625
1014169,0.1875
1024177,0.125
1034178,0.03125
1044306,0.0
1054338,0.0625
1064360,0.0
1074380,0.0
1084382,0.0
1094400,0.21875
1104401,0.03125
1114478,0.0
1124554,0.21875
1134630,0.0
1144644,0.0
1154670,0.03125
1164741,0.0
1174756,0.0
1184767,0.0
1194851,0.5625
1204871,0.15625
1214927,0.0
1225076,0.03125
1235140,0.34375
1245181,0.0
1255181,0.3125
1265197,0.0
1275245,0.03125
1285257,0.03125
1295315,0.25
1305317,0.09375
1315327,0.0625
1325360,0.125
1335388,0.03125
1345473,0.03125
1355508,0.03125
1365539,0.0
1375576,0.15625
1385586,0.21875
1395592,0.0
1405622,0.28125
1415684,0.15625
1425759,0.03125
1435871,0.03125
1445887,0.375
1455916,0.0
1465941,0.03125
1475949,0.0
1486074,0.0
1496139,0.0625
1506165,0.03125
1516263,0.0
1526263,0.03125
1536287,0.375
1546332,0.0
1556341,0.21875
1566354,0.5
1576411,0.21875
1586447,0.0
1596477,0.03125
1606493,0.40625
1616618,0.0625
1626636,0.59375
1636642,0.0
1646711,0.15625
1656712,0.3125
1666725,0.0
1676732,0.0
1686785,0.0
1696880,0.0
1706923,0.0
1716981,0.0
1727017,0.34375
1737081,0.3125
1747224,0.0
1757278,0.0625
1767289,0.09375
1777306,0.03125
1787314,0.0
1797334,0.0
1807369,0.125
1817441,0.0
1827447,0.0
1837448,0.03125
1847494,0.0625
1857508,0.0
1867513,0.0
1877518,0.0625
1887645,0.0
1897664,0.03125
1907687,0.0
1917726,0.03125
1927818,0.0
1937825,0.0625
1947858,0.0
1957911,0.0
1967935,0.0
1977976,0.03125
1987980,0.0
1998066,0.0
2008104,0.0
2018140,0.0
2028174,0.03125
2038192,0.0
2048193,0.3125
2058200,0.09375
2068345,0.1875
2078388,0.0
2088402,0.09375
2098433,0.03125
2108472,0.03125
2118506,0.0
2128530,0.03125
2138570,0.03125
2148570,0.0
2158591,0.0
2168644,0.03125
2178707,0.0
2188766,0.03125
2198908,0.03125
2208930,0.0625
2218972,0.34375
2228986,0.03125
2239009,0.0625
2249033,0.15625
2259048,0.03125
2269104,0.1875
2279116,0.0
2289134,0.03125
2299201,0.0
2309206,0.0625
2319244,0.21875
2329253,0.1875
2339340,0.09375
2349446,0.3125
2359523,0.0
2369528,0.1875
2379552,0.25
2389570,0.09375
2399575,0.03125
2409605,0.0625
2419625,0.0625
2429639,0.25
2439710,0.03125
2449722,0.125
2459722,0.0625
2469736,0.0
2479742,0.09375
2489788,0.03125
2499846,0.0625
2509903,0.125
2519941,0.125
2529970,0.125
2539985,0.03125
2550014,0.0625
2560034,0.15625
2570086,0.25
2580102,0.0
2590140,0.1875
2600140,0.03125
2610191,0.34375
2620224,0.28125
2630274,0.09375
2640276,0.375
2650300,0.5
2660340,0.0
2670352,0.59375
2680392,0.5
2690416,0.5625
2700441,0.0625
2710466,0.1875
2720491,0.25
2730562,0.125
2740570,0.1875
2750586,0.34375
2760678,0.25
2770680,0.65625
2780709,0.15625
2790714,0.46875
2800737,0.5625
2810766,0.40625
2820766,0.46875
2830791,0.5
2840827,0.0
2850836,0.53125
2860851,0.0625
2870867,0.40625
2880869,0.0625
2890875,0.25
2900877,0.65625
2910881,0.59375
2920882,0.25
2930975,0.40625
2940976,0.28125
2951006,0.21875
2961029,0.34375
2971053,0.34375
2981066,0.21875
2991077,0.1875
3001081,0.40625
3011083,0.40625
3021114,0.71875
