step,win_rate
21,0.0
10071,0.0
20174,0.0
30219,0.0
40233,0.0
50280,0.0
60310,0.0
70416,0.0
80475,0.0
90515,0.03125
100618,0.0
110724,0.0
120817,0.0
130833,0.0
140870,0.03125
150893,0.0
160904,0.0
170994,0.3125
181062,0.125
191115,0.0
201226,0.0
211231,0.0
221233,0.0
231299,0.0625
241316,0.0
251329,0.0
261390,0.0
271440,0.0
281440,0.0
291470,0.0
301519,0.0
311524,0.0
321621,0.15625
331663,0.0
341674,0.0
351685,0.0
361701,0.0
371751,0.03125
381846,0.03125
391855,0.0
401870,0.03125
411936,0.0
421950,0.0
432035,0.0
442042,0.0
452055,0.0
462058,0.0
472187,0.0
482233,0.03125
492295,0.0
502374,0.0
512426,0.0
522463,0.0
532465,0.0
542477,0.0
552493,0.0
562525,0.0
572544,0.03125
582616,0.0
592653,0.0
602761,0.0
612825,0.0
622897,0.0
632910,0.0
643022,0.0
653104,0.0
663143,0.21875
673195,0.0
683213,0.0
693295,0.0
703312,0.0
713382,0.0
723396,0.0
733480,0.0
743608,0.0
753623,0.0
763647,0.0
773669,0.0
783688,0.0
793716,0.0
803755,0.0625
813829,0.0
823896,0.0
833939,0.0
843951,0.0
853990,0.0
864098,0.0
874123,0.0
884160,0.0
894244,0.0
904280,0.03125
914364,0.0
924382,0.03125
934384,0.0
944411,0.0
954428,0.0
964448,0.0
974449,0.0
984491,0.0
994499,0.15625
1004519,0.0625
1014553,0.0625
1024604,0.03125
1034703,0.0
1044721,0.03125
1054730,0.0
1064731,0.03125
1074791,0.0
1084841,0.03125
1094848,0.09375
1104848,0.15625
1114897,0.03125
1124909,0.0
1134984,0.0
1145044,0.03125
1155051,0.0
1165081,0.03125
1175090,0.0
1185102,0.0
1195178,0.09375
1205190,0.0
1215305,0.03125
1225316,0.0
1235332,0.0
1245345,0.1875
1255365,0.0
1265488,0.0625
1275492,0.0
1285498,0.0
1295543,0.0625
1305566,0.15625
1315572,0.0
1325614,0.0625
1335707,0.1875
1345757,0.0
1355770,0.0625
1365800,0.03125
1375808,0.0625
1385849,0.21875
1395923,0.03125
1405955,0.0
1415983,0.0625
1426057,0.03125
1436067,0.0
1446086,0.03125
1456089,0.0
1466131,0.03125
1476216,0.03125
1486307,0.09375
1496409,0.0
1506440,0.0
1516461,0.0
1526477,0.0625
1536528,0.1875
1546566,0.03125
1556583,0.15625
1566595,0.03125
1576599,0.0
1586690,0.09375
1596694,0.0
1606739,0.03125
1616740,0.0625
1626745,0.03125
1636764,0.0
1646874,0.0
1656911,0.0
1666949,0.03125
1676957,0.0
1686973,0.09375
1696989,0.0
1707003,0.03125
1717004,0.0625
1727035,0.0
1737049,0.15625
1747062,0.0
1757063,0.0
1767143,0.125
1777164,0.03125
1787183,0.0
1797202,0.0625
1807232,0.0
1817305,0.03125
1827326,0.1875
1837385,0.03125
1847386,0.0625
1857417,0.0
1867436,0.0
1877478,0.0
1887495,0.03125
1897596,0.0
1907681,0.0
1917717,0.0
1927727,0.03125
1937745,0.125
1947754,0.0
1957776,0.0
1967804,0.03125
1977816,0.0625
1987845,0.09375
1997858,0.0
2007877,0.0
2017923,0.03125
2027923,0.125
2037938,0.15625
2047966,0.09375
2057989,0.03125
2068040,0.0
2078104,0.15625
2088106,0.0
2098115,0.09375
2108204,0.03125
2118237,0.0625
2128255,0.03125
2138278,0.03125
2148310,0.09375
2158335,0.03125
2168414,0.0
2178442,0.0
2188482,0.0
2198560,0.03125
2208581,0.59375
2218629,0.0
2228635,0.0625
2238698,0.125
2248710,0.0
2258733,0.03125
2268798,0.03125
2278838,0.09375
2288860,0.03125
2298902,0.0625
2309012,0.09375
2319117,0.0
2329152,0.15625
2339164,0.09375
2349184,0.0625
2359225,0.0
2369306,0.0
2379334,0.0625
2389334,0.1875
2399374,0.0625
2409393,0.34375
2419399,0.0
2429442,0.0
2439464,0.03125
2449498,0.0625
2459516,0.03125
2469587,0.03125
2479621,0.0
2489648,0.0
2499704,0.15625
2509720,0.0625
2519752,0.21875
2529818,0.03125
2539833,0.40625
2549870,0.21875
2559903,0.0625
2569941,0.375
2579942,0.4375
2589957,0.25
2599980,0.0
2610020,0.03125
2620056,0.0625
2630066,0.125
2640106,0.0
2650150,0.09375
2660191,0.0625
2670205,0.03125
2680224,0.40625
2690312,0.0625
2700363,0.0625
2710368,0.0
2720373,0.0
2730408,0.03125
2740414,0.0
2750488,0.0625
2760494,0.25
2770511,0.09375
2780532,0.1875
2790537,0.25
2800578,0.4375
2810622,0.0625
2820651,0.0
2830701,0.15625
2840734,0.15625
2850744,0.0625
2860825,0.03125
2870929,0.15625
2880943,0.0625
2890968,0.34375
2900976,0.03125
2911021,0.0625
2921032,0.21875
2931073,0.3125
2941091,0.1875
2951123,0.09375
2961160,0.0
2971183,0.15625
2981217,0.28125
2991217,0.15625
3001245,0.15625
3011248,0.21875
3021263,0.1875
3031291,0.0625
3041399,0.15625
3051455,0.0625
3061495,0.09375
3071555,0.15625
3081630,0.3125
3091654,0.28125
3101675,0.125
3111708,0.09375
3121722,0.09375
3131811,0.34375
3141912,0.21875
3151939,0.0
3161968,0.0
3172010,0.0625
3182074,0.0
3192194,0.0
3202332,0.0
3212417,0.0625
3222432,0.15625
3232499,0.09375
3242505,0.03125
3252509,0.46875
3262529,0.5
3272529,0.21875
3282573,0.125
3292590,0.28125
3302623,0.28125
3312663,0.0
3322666,0.375
3332687,0.4375
3342713,0.03125
3352784,0.03125
3362796,0.03125
3372814,0.0625
3382851,0.0625
3392908,0.34375
3402931,0.5
3412958,0.0
3422960,0.0
3433010,0.0625
3443040,0.0625
3453077,0.125
3463087,0.03125
3473107,0.09375
3483157,0.21875
3493161,0.0625
3503201,0.15625
3513203,0.21875
3523273,0.15625
3533330,0.09375
3543365,0.0
3553371,0.0
3563406,0.21875
3573427,0.21875
3583471,0.03125
3593488,0.21875
3603505,0.125
3613509,0.0
3623615,0.09375
3633621,0.0
3643635,0.0
3653648,0.09375
3663667,0.03125
3673711,0.03125
3683716,0.0
3693742,0.0
3703747,0.0625
3713782,0.21875
3723823,0.1875
3733835,0.4375
3743851,0.25
3753859,0.40625
3763881,0.21875
3773949,0.34375
3783972,0.4375
3793993,0.5625
3804010,0.375
3814019,0.28125
3824035,0.4375
3834044,0.21875
3844066,0.25
3854101,0.1875
3864111,0.53125
3874135,0.0625
3884220,0.03125
3894234,0.15625
3904254,0.0625
3914312,0.09375
3924317,0.125
3934345,0.0
3944397,0.125
3954419,0.0
3964445,0.0
3974446,0.4375
3984544,0.25
3994547,0.28125
4004567,0.71875
4014589,0.65625
4024614,0.15625
4034625,0.3125
4044693,0.15625
