step,win_rate
55,0.0
10077,0.0
20124,0.0
30124,0.0
40182,0.0
50258,0.0
60266,0.0
70271,0.0
80297,0.0
90359,0.0
100417,0.0
110488,0.0
120606,0.0
130638,0.0
140692,0.0
150739,0.03125
160774,0.0
170803,0.0
180824,0.0
190837,0.0
200847,0.03125
210855,0.09375
220902,0.0
230931,0.0
240958,0.03125
251002,0.0
261023,0.0
271059,0.0
281080,0.0
291081,0.125
301092,0.0
311098,0.0
321134,0.0
331224,0.0
341231,0.0625
351233,0.09375
361240,0.0
371259,0.09375
381259,0.03125
391398,0.0
401404,0.0
411470,0.03125
421502,0.0
431525,0.03125
441556,0.0625
451645,0.0
461692,0.0
471749,0.03125
481790,0.0
491810,0.0
501883,0.0
511906,0.0
521923,0.0
532015,0.03125
542031,0.0625
552105,0.0
562133,0.0
572150,0.0
582151,0.03125
592194,0.03125
602269,0.0
612285,0.0625
622311,0.0
632322,0.0
642327,0.0
652348,0.03125
662377,0.0
672446,0.03125
682464,0.0
692467,0.03125
702507,0.03125
712538,0.0625
722570,0.09375
732597,0.0
742735,0.0
752783,0.0
762833,0.03125
772835,0.0
782898,0.03125
792912,0.03125
802943,0.0625
813043,0.0
823100,0.09375
833115,0.0
843133,0.09375
853174,0.09375
863176,0.125
873200,0.0
883256,0.0
893273,0.28125
903274,0.0
913302,0.0
923341,0.0
933345,0.0
943407,0.15625
953427,0.03125
963443,0.0
973466,0.03125
983466,0.03125
993468,0.0625
1003535,0.0
1013547,0.0625
1023550,0.0
1033569,0.0625
1043617,0.125
1053673,0.0
1063700,0.09375
1073709,0.0625
1083722,0.0
1093768,0.0
1103769,0.0
1113836,0.03125
1123872,0.0
1133939,0.0
1143943,0.0
1153997,0.0
1164020,0.0
1174025,0.0
1184035,0.0
1194128,0.03125
1204141,0.125
1214154,0.0
1224170,0.0
1234224,0.0
1244239,0.0
1254339,0.03125
1264397,0.0
1274431,0.0
1284443,0.0
1294480,0.03125
1304530,0.0
1314530,0.0
1324576,0.0625
1334625,0.0
1344672,0.0
1354723,0.0
1364739,0.0
1374742,0.0625
1384794,0.125
1394794,0.0
1404847,0.09375
1414936,0.03125
1424947,0.0
1434948,0.0
1444962,0.0
1454963,0.0
1464990,0.0
1474998,0.03125
1485034,0.03125
1495068,0.125
1505156,0.03125
1515270,0.0625
1525325,0.03125
1535393,0.0
1545412,0.03125
1555445,0.09375
1565501,0.0
1575552,0.0
1585627,0.0
1595664,0.03125
1605704,0.0
1615759,0.03125
1625805,0.09375
1635837,0.0
1645856,0.03125
1655873,0.0
1665875,0.125
1675918,0.3125
1685988,0.0
1696024,0.4375
1706037,0.03125
1716126,0.4375
1726153,0.03125
1736242,0.03125
1746333,0.0
1756382,0.09375
1766483,0.0625
1776494,0.0625
1786504,0.0
1796555,0.0625
1806566,0.0
1816583,0.15625
1826641,0.0625
1836649,0.0625
1846765,0.09375
1856772,0.25
1866772,0.25
1876775,0.03125
1886776,0.125
1896813,0.125
1906830,0.09375
1916862,0.03125
1926920,0.15625
1936950,0.0
1946974,0.0
1956978,0.0625
1966994,0.15625
1977036,0.21875
1987070,0.09375
1997146,0.0625
2007158,0.0
2017164,0.15625
2027190,0.0625
2037199,0.03125
2047209,0.09375
2057230,0.03125
2067270,0.375
2077288,0.0625
2087319,0.0625
2097352,0.125
2107386,0.09375
2117422,0.0
2127489,0.15625
2137497,0.0625
2147517,0.03125
2157544,0.1875
2167548,0.0625
2177589,0.15625
2187637,0.09375
2197638,0.0
2207715,0.03125
2217717,0.0
2227806,0.03125
2237872,0.03125
2247932,0.09375
2257978,0.03125
2267996,0.09375
2278035,0.125
2288100,0.125
2298117,0.03125
2308136,0.09375
2318142,0.0
2328199,0.1875
2338262,0.03125
2348319,0.0
2358385,0.0
2368408,0.03125
2378435,0.0
2388456,0.0
2398550,0.0
2408617,0.0
2418650,0.0
2428654,0.03125
2438657,0.0
2448701,0.0
2458705,0.0
2468705,0.03125
2478712,0.15625
2488797,0.1875
2498799,0.28125
2508824,0.03125
2518842,0.03125
2528846,0.0
2538878,0.21875
2548879,0.09375
2558896,0.03125
2568900,0.0625
2578978,0.09375
2588994,0.3125
2599026,0.09375
2609042,0.125
2619053,0.15625
2629076,0.03125
2639083,0.0625
2649134,0.1875
2659153,0.125
2669159,0.0625
2679161,0.03125
2689169,0.0
2699191,0.125
2709207,0.0625
2719226,0.0
2729267,0.09375
2739269,0.0625
2749275,0.03125
2759307,0.03125
2769366,0.03125
2779375,0.0
2789437,0.03125
2799491,0.0
2809547,0.0
2819644,0.0
2829667,0.03125
2839693,0.0
2849748,0.03125
2859885,0.0
2869961,0.0
2880068,0.03125
2890132,0.0
2900228,0.0
2910296,0.03125
2920332,0.03125
2930339,0.0
2940394,0.0
2950406,0.0
2960434,0.0625
2970457,0.0
2980531,0.03125
2990622,0.0
3000629,0.0
3010740,0.03125
3020821,0.0
3030829,0.0
3040832,0.1875
3050848,0.125
3060948,0.0
3070981,0.0
3081106,0.0
3091120,0.03125
3101204,0.0
3111299,0.0
3121388,0.0
3131470,0.0
3141476,0.0
3151490,0.03125
3161542,0.0
3171609,0.0
3181639,0.0
3191660,0.0
3201735,0.0
3211821,0.03125
3221845,0.03125
3231882,0.0
3241923,0.03125
3252072,0.0
3262079,0.0625
3272198,0.0
3282309,0.0
3292363,0.0
3302418,0.0
3312436,0.15625
3322439,0.4375
3332512,0.09375
3342525,0.0
3352641,0.0
3362658,0.25
3372666,0.0625
3382780,0.0
3392783,0.03125
3402802,0.0
3412907,0.0
3422984,0.0
3433101,0.0
3443129,0.03125
3453147,0.0
3463172,0.0625
3473203,0.0
3483215,0.0
3493220,0.0625
3503221,0.03125
3513279,0.03125
3523323,0.09375
3533334,0.03125
3543335,0.03125
3553470,0.0
3563471,0.0
3573537,0.09375
3583585,0.28125
3593598,0.03125
3603598,0.0
3613614,0.125
3623695,0.1875
3633832,0.03125
3643900,0.125
3653939,0.09375
3663965,0.03125
3674039,0.09375
3684043,0.0625
3694102,0.09375
3704112,0.0
3714138,0.03125
3724210,0.125
3734280,0.09375
3744313,0.125
3754323,0.09375
3764377,0.0625
3774405,0.03125
3784434,0.15625
3794527,0.0625
3804636,0.0
3814640,0.09375
3824691,0.125
3834775,0.0
3844818,0.03125
3854903,0.03125
3864929,0.0
3874950,0.03125
3884985,0.0625
3895035,0.0625
3905174,0.0625
3915273,0.0625
3925301,0.03125
3935301,0.125
3945366,0.0625
3955381,0.09375
3965396,0.15625
3975425,0.09375
3985438,0.1875
3995471,0.15625
4005513,0.125
4015610,0.03125
4025673,0.0625
4035750,0.0
4045830,0.0
