step,win_rate
116,0.0
10143,0.0
20163,0.0
30183,0.0
40200,0.0
50218,0.0
60256,0.0
70272,0.0
80327,0.0
90346,0.0
100355,0.0
110456,0.0625
120473,0.0
130477,0.0
140500,0.0625
150516,0.0
160621,0.0625
170647,0.03125
180696,0.09375
190706,0.03125
200784,0.09375
210813,0.0625
220865,0.03125
230931,0.03125
240967,0.125
251031,0.0
261070,0.0
271073,0.09375
281101,0.21875
291156,0.09375
301185,0.03125
311194,0.0
321241,0.03125
331292,0.03125
341330,0.09375
351339,0.15625
361386,0.03125
371410,0.0
381459,0.0
391581,0.0
401593,0.0
411609,0.0
421734,0.0
431780,0.03125
441839,0.15625
451855,0.03125
461868,0.0
471874,0.0
481951,0.03125
492010,0.03125
502022,0.03125
512029,0.0
522068,0.0
532081,0.0
542102,0.03125
552125,0.0625
562201,0.0
572222,0.0
582308,0.0
592380,0.03125
602387,0.0625
612388,0.0
622391,0.0625
632445,0.0
642456,0.0
652509,0.0625
662563,0.0625
672579,0.0
682588,0.09375
692664,0.0
702694,0.0
712720,0.03125
722832,0.09375
732922,0.0
742939,0.0
753047,0.0
763116,0.0
773136,0.0
783199,0.0
793199,0.03125
803208,0.03125
813346,0.0625
823377,0.09375
833419,0.0
843434,0.0
853474,0.0
863480,0.0
873512,0.0
883517,0.0
893522,0.03125
903532,0.0
913568,0.0
923635,0.0
933747,0.15625
943750,0.21875
953759,0.1875
963825,0.0
973852,0.21875
983875,0.0
993913,0.0
1004005,0.0625
1014087,0.0
1024088,0.15625
1034166,0.0
1044226,0.125
1054340,0.0
1064348,0.0
1074422,0.0
1084522,0.0
1094609,0.0
1104629,0.0
1114643,0.25
1124688,0.28125
1134702,0.09375
1144754,0.0
1154779,0.0
1164793,0.09375
1174802,0.15625
1184817,0.03125
1194894,0.0
1204915,0.09375
1214925,0.0
1224989,0.0625
1235018,0.03125
1245042,0.0625
1255082,0.125
1265137,0.0625
1275154,0.15625
1285182,0.46875
1295217,0.0625
1305227,0.0
1315229,0.0
1325230,0.09375
1335270,0.0
1345314,0.0
1355435,0.21875
1365462,0.09375
1375466,0.09375
1385534,0.28125
1395574,0.0
1405597,0.0
1415658,0.0625
1425663,0.03125
1435701,0.0
1445745,0.0
1455755,0.0
1465897,0.0
1475931,0.0625
1485932,0.0625
1495951,0.1875
1506017,0.125
1516048,0.0
1526051,0.0625
1536083,0.25
1546098,0.125
1556156,0.09375
1566163,0.125
1576189,0.5
1586227,0.03125
1596299,0.0
1606304,0.125
1616344,0.0
1626366,0.03125
1636472,0.125
1646524,0.03125
1656551,0.03125
1666573,0.0
1676650,0.09375
1686677,0.15625
