step,win_rate
83,0.0
10190,0.0
20272,0.0
30285,0.0
40307,0.0
50381,0.0
60404,0.0
70444,0.0
80517,0.0
90528,0.0
100561,0.0
110645,0.0
120715,0.0
130849,0.0
140872,0.0
150915,0.0
160916,0.0
170947,0.0
181005,0.0
191067,0.0
201155,0.0
211191,0.0
221264,0.0
231301,0.0
241327,0.0
251355,0.0
261430,0.0
271441,0.0
281470,0.0
291502,0.0
301589,0.0
311641,0.0
321676,0.0
331817,0.0
341890,0.0
351899,0.0
361990,0.0
372000,0.0
382046,0.0
392048,0.0
402078,0.0
412185,0.0
422188,0.0
432195,0.0
442216,0.0
452277,0.0
462321,0.0
472384,0.05
482386,0.0
492423,0.0
502473,0.0
512512,0.0
522532,0.0
532537,0.0
542562,0.0
552570,0.0
562594,0.0
572695,0.0
582736,0.0
592783,0.0
602820,0.0
612872,0.0
622874,0.0
632923,0.0
642970,0.0
652997,0.0
663011,0.0
673045,0.0
683076,0.0
693135,0.0
703157,0.0
713221,0.0
723248,0.0
733359,0.0
743385,0.0
753420,0.0
763453,0.0
773498,0.0
783566,0.0
793600,0.0
803723,0.0
813741,0.0
823800,0.0
833877,0.0
843891,0.0
853916,0.0
863956,0.0
873975,0.0
883999,0.0
894016,0.0
904017,0.0
914057,0.0
924117,0.0
934119,0.0
944165,0.0
954185,0.0
964219,0.0
974284,0.0
984321,0.0
994408,0.0
1004449,0.0
1014467,0.0
1024511,0.0
1034570,0.0
1044690,0.0
1054766,0.0
1064775,0.0
1074818,0.0
1084953,0.0
1094974,0.0
1105098,0.0
1115108,0.0
1125127,0.0
1135208,0.0
1145237,0.0
1155283,0.0
1165289,0.0
1175299,0.0
1185305,0.0
1195306,0.0
1205358,0.0
1215385,0.0
1225462,0.0
1235494,0.0
1245524,0.0
1255562,0.0
1265577,0.0
1275589,0.0
1285657,0.0
1295697,0.0
1305699,0.0
1315727,0.0
1325770,0.0
1335773,0.0
1345862,0.0
1355867,0.0
1365870,0.0
1375904,0.05
1385905,0.0
1395939,0.0
1405949,0.0
1416031,0.0
1426072,0.0
1436093,0.0
1446102,0.0
1456171,0.0
1466184,0.0
1476209,0.0
1486267,0.0
1496303,0.0
1506384,0.05
1516408,0.0
1526431,0.0
1536537,0.0
1546550,0.0
1556665,0.0
1566719,0.0
1576804,0.0
1586852,0.0
1596929,0.0
1606978,0.0
1617001,0.0
1627076,0.0
1637094,0.0
1647198,0.0
1657242,0.0
1667242,0.0
1677284,0.0
1687323,0.0
1697346,0.0
1707394,0.0
1717395,0.0
1727446,0.0
1737490,0.0
1747566,0.0
1757626,0.0
1767711,0.0
1777758,0.0
1787796,0.0
1797831,0.0
1807847,0.0
1817862,0.0
1827865,0.0
1837882,0.0
1847906,0.0
1857985,0.0
1868036,0.0
1878085,0.0
1888109,0.0
1898148,0.0
1908226,0.0
1918242,0.0
1928269,0.0
1938300,0.0
1948397,0.0
1958431,0.0
1968459,0.0
1978475,0.0
1988518,0.0
1998518,0.0
2008522,0.0
2018548,0.0
2028645,0.0
2038738,0.0
2048843,0.0
2058975,0.0
2069029,0.0
2079032,0.0
2089161,0.0
2099177,0.0
2109189,0.05
2119199,0.0
2129232,0.0
2139243,0.0
2149310,0.0
2159346,0.0
2169386,0.0
2179525,0.0
2189545,0.0
2199624,0.0
2209721,0.0
2219806,0.0
2229874,0.0
2239901,0.0
2250003,0.0
2260054,0.0
2270141,0.0
2280146,0.0
2290187,0.0
2300214,0.0
2310355,0.0
2320379,0.0
2330396,0.0
2340441,0.0
2350475,0.0
2360519,0.0
2370551,0.0
2380576,0.0
2390685,0.0
2400706,0.0
2410813,0.0
2420865,0.0
2430926,0.0
2440983,0.0
2451035,0.0
2461116,0.0
2471142,0.0
2481191,0.0
2491291,0.0
2501354,0.0
2511465,0.0
2521508,0.0
2531554,0.0
2541597,0.0
2551734,0.0
2561790,0.0
2571831,0.0
2581953,0.0
2591993,0.0
2602064,0.0
2612120,0.0
2622142,0.0
2632194,0.0
2642219,0.0
2652275,0.0
2662395,0.0
2672398,0.0
2682514,0.0
2692526,0.0
2702572,0.0
2712589,0.0
2722600,0.0
2732657,0.0
2742689,0.0
2752742,0.0
2762757,0.0
2772844,0.0
2782928,0.0
2792936,0.0
2802937,0.0
2812971,0.0
2823015,0.0
2833035,0.0
2843040,0.0
2853151,0.0
2863160,0.0
2873200,0.0
2883244,0.0
2893341,0.0
2903372,0.0
2913473,0.0
2923548,0.0
2933601,0.0
2943655,0.0
2953720,0.0
2963728,0.0
2973746,0.0
2983763,0.0
2993852,0.0
3003948,0.0
3013984,0.0
3024001,0.0
3034077,0.0
3044184,0.05
3054255,0.0
3064280,0.0
3074335,0.0
3084358,0.0
3094381,0.0
3104399,0.0
3114488,0.0
3124513,0.0
3134545,0.0
3144546,0.0
3154547,0.0
3164581,0.0
3174635,0.0
3184680,0.0
3194682,0.0
3204713,0.0
3214800,0.0
3224826,0.05
3234898,0.0
3244941,0.0
3254978,0.0
3265070,0.0
3275159,0.05
3285176,0.0
3295317,0.0
3305412,0.0
3315427,0.0
3325431,0.0
3335470,0.0
3345508,0.0
3355553,0.0
3365617,0.0
3375640,0.0
3385761,0.0
3395843,0.0
3405938,0.0
3416014,0.0
3426020,0.0
3436098,0.0
3446120,0.0
3456129,0.0
3466222,0.0
3476230,0.0
3486289,0.0
3496392,0.0
3506471,0.0
3516483,0.0
3526504,0.0
3536529,0.0
3546584,0.0
3556637,0.0
3566656,0.0
3576670,0.0
3586697,0.0
3596707,0.05
3606721,0.0
3616793,0.0
3626859,0.0
3636878,0.0
3646905,0.0
3656946,0.0
3667029,0.0
3677057,0.0
3687090,0.0
3697142,0.0
3707199,0.0
3717205,0.0
3727213,0.0
3737274,0.0
3747306,0.05
3757367,0.0
3767426,0.05
3777494,0.0
3787551,0.0
3797641,0.0
3807759,0.0
3817871,0.0
3827884,0.0
3837897,0.0
3847914,0.0
3857985,0.0
3868036,0.0
3878071,0.0
3888102,0.0
3898123,0.0
3908167,0.0
3918261,0.0
3928274,0.0
3938351,0.0
3948382,0.0
3958426,0.0
3968502,0.0
3978522,0.0
3988546,0.05
3998561,0.0
4008662,0.0
4018703,0.0
4028734,0.0
4038763,0.1
4048826,0.0
4058853,0.0
4068853,0.0
4078905,0.0
4088937,0.0
4099041,0.05
4109123,0.0
4119149,0.0
4129160,0.0
4139187,0.0
4149209,0.0
4159266,0.05
4169304,0.0
4179342,0.0
4189376,0.0
4199387,0.0
4209405,0.05
