step,win_rate
52,0.0
10105,0.0
20120,0.0
30187,0.0
40212,0.0
50345,0.0
60437,0.0
70475,0.0
80595,0.0
90632,0.0
100743,0.0
110783,0.0
120846,0.03125
130879,0.0
140934,0.03125
150944,0.0
160966,0.0
171063,0.0
181142,0.0
191180,0.0
201194,0.0
211251,0.0
221318,0.0
231364,0.0
241371,0.0
251371,0.0
261416,0.0
271457,0.0
281507,0.03125
291517,0.0
301587,0.0
311587,0.0
321653,0.0
331690,0.0
341776,0.0
351780,0.0
361808,0.0
371864,0.0
381886,0.03125
391901,0.0
401926,0.0
411983,0.0
422000,0.0
432049,0.0
442106,0.0
452127,0.0
462162,0.21875
472179,0.21875
482205,0.3125
492318,0.34375
502341,0.0
512427,0.0625
522469,0.0625
532497,0.0
542592,0.03125
552600,0.0
562628,0.125
572638,0.0
582695,0.0
592713,0.0
602806,0.59375
612896,0.21875
622907,0.5625
632960,0.21875
642993,0.0
653031,0.0
663081,0.0
673104,0.0
683115,0.0
693133,0.0
703185,0.0
713213,0.0
723247,0.0
733257,0.03125
743275,0.03125
753299,0.0
763318,0.0
773341,0.03125
783357,0.03125
793396,0.0625
803421,0.03125
813486,0.0625
823501,0.0
833548,0.03125
843555,0.0
853579,0.0
863629,0.03125
873631,0.0
883641,0.0
893647,0.0
903665,0.0
913692,0.0
923729,0.0
933731,0.0
943752,0.0
953790,0.0
963873,0.1875
973905,0.21875
983920,0.5625
993931,0.25
1003935,0.09375
1013952,0.03125
1023975,0.03125
1033999,0.09375
1044038,0.03125
1054072,0.0
1064081,0.0
1074128,0.125
1084129,0.0
1094155,0.0
1104178,0.0625
1114239,0.28125
1124268,0.3125
1134292,0.09375
1144322,0.15625
1154347,0.09375
1164454,0.09375
1174546,0.5
1184550,0.03125
1194625,0.5625
1204656,0.1875
1214685,0.28125
1224738,0.1875
1234867,0.15625
1244878,0.21875
1254894,0.15625
1264923,0.3125
1274939,0.1875
1284975,0.1875
1295066,0.1875
1305072,0.15625
1315077,0.15625
1325126,0.1875
1335149,0.1875
1345235,0.15625
1355240,0.03125
1365240,0.1875
1375327,0.125
1385378,0.21875
1395416,0.28125
1405423,0.1875
1415515,0.3125
1425518,0.15625
1435534,0.375
1445543,0.34375
1455552,0.375
1465585,0.40625
1475695,0.1875
1485709,0.28125
1495710,0.28125
1505797,0.375
1515832,0.46875
1525876,0.4375
1535893,0.21875
1545929,0.40625
1555959,0.21875
1565984,0.34375
1576016,0.21875
1586021,0.125
1596140,0.5
1606152,0.375
1616161,0.4375
1626162,0.4375
1636170,0.46875
1646239,0.40625
1656294,0.53125
1666312,0.46875
1676398,0.4375
1686495,0.53125
1696563,0.5
1706580,0.40625
1716638,0.40625
1726683,0.4375
1736761,0.34375
1746781,0.3125
1756800,0.46875
1766853,0.3125
1776856,0.25
1786861,0.125
1796876,0.0625
1806909,0.03125
1816937,0.125
1826984,0.0
1837041,0.0625
1847155,0.375
1857234,0.4375
1867265,0.3125
1877326,0.4375
1887375,0.40625
1897390,0.84375
1907400,0.8125
1917424,0.5
1927463,0.71875
1937464,0.71875
1947519,0.75
1957638,0.625
1967648,0.65625
1977658,0.875
1987666,0.5
1997679,0.5625
2007714,0.5625
2017813,0.40625
2027820,0.3125
2037837,0.5
2047847,0.5
2057889,0.5625
2067898,0.4375
2077904,0.5
2087910,0.65625
2097946,0.28125
2107973,0.0
2118051,0.0625
2128065,0.28125
2138088,0.21875
2148115,0.65625
2158148,0.625
2168158,0.84375
2178249,0.6875
2188274,0.71875
2198288,0.78125
2208303,0.84375
2218316,0.6875
2228324,0.875
2238339,0.65625
2248354,0.78125
2258410,0.65625
2268417,0.65625
2278462,0.625
2288484,0.8125
2298524,0.46875
2308531,0.1875
2318558,0.4375
2328689,0.71875
2338708,0.4375
2348717,0.1875
2358729,0.34375
2368761,0.3125
2378787,0.28125
2388787,0.5625
2398787,0.65625
2408810,0.5
2418815,0.6875
2428819,0.875
2438934,0.65625
2448938,0.84375
2458940,0.8125
2468985,0.71875
2479054,0.78125
2489072,0.75
2499107,0.84375
2509109,0.75
2519116,0.84375
2529120,0.46875
2539140,0.78125
2549164,0.78125
2559177,0.78125
2569250,0.71875
2579251,0.8125
2589325,0.6875
2599332,0.625
2609351,0.84375
2619371,0.75
2629406,0.65625
2639432,0.84375
2649469,0.84375
2659528,0.71875
2669532,0.78125
2679544,0.6875
2689562,0.90625
2699581,0.78125
2709608,0.84375
2719612,0.71875
2729618,0.78125
2739627,0.65625
2749640,0.65625
2759644,0.90625
2769672,0.8125
2779739,0.78125
2789761,0.78125
2799780,0.84375
2809783,0.75
2819792,0.875
2829805,0.84375
2839824,0.625
2849846,0.625
2859931,0.8125
2869983,0.75
2880000,0.875
2890017,0.8125
2900120,0.53125
2910120,0.5625
2920137,0.78125
2930137,0.65625
2940198,0.625
2950215,0.9375
2960256,0.75
2970279,0.84375
2980379,0.75
2990498,0.78125
3000523,0.71875
3010525,0.8125
3020544,0.625
3030546,0.75
3040610,0.78125
3050650,0.78125
3060660,0.75
3070694,0.9375
3080696,0.75
3090717,0.9375
3100722,0.84375
3110737,0.75
3120738,0.75
3130753,0.75
3140784,0.6875
3150785,0.78125
3160804,0.6875
3170815,0.78125
3180875,0.59375
3190886,0.5
3200891,0.84375
3210910,0.8125
3220949,0.71875
3230959,0.6875
3240979,0.71875
3250982,0.78125
3261005,0.65625
3271040,0.6875
3281104,0.78125
3291112,0.71875
3301142,0.6875
3311164,0.75
3321190,0.875
3331220,0.625
3341243,0.625
3351250,0.75
3361265,0.75
3371286,0.625
3381307,0.59375
3391321,0.65625
3401351,0.75
3411379,0.84375
3421387,0.78125
3431451,0.75
3441516,0.84375
3451565,0.84375
3461583,0.8125
3471594,0.75
3481601,0.71875
3491617,0.71875
3501625,0.875
3511625,0.78125
3521627,0.71875
3531660,0.71875
3541691,0.6875
3551712,0.75
3561741,0.6875
3571756,0.71875
3581761,0.84375
3591793,0.75
3601818,0.78125
3611861,0.75
3621931,0.78125
3632008,0.8125
3642025,0.84375
3652123,0.875
3662141,0.8125
3672232,0.84375
3682309,0.875
3692353,0.78125
3702467,0.6875
3712522,0.8125
3722543,0.6875
3732577,0.84375
3742592,0.5625
3752664,0.84375
3762667,0.75
3772689,0.78125
3782723,0.75
3792750,0.875
3802753,0.90625
3812780,0.84375
3822793,0.65625
3832901,0.5625
3842908,0.78125
3852914,0.90625
3862991,0.8125
3873010,0.65625
3883033,0.59375
3893054,0.6875
3903082,0.6875
3913095,0.8125
3923110,0.5625
3933116,0.75
3943140,0.75
3953141,0.78125
3963158,0.78125
3973169,0.75
3983174,0.8125
3993176,0.78125
4003202,0.71875
4013221,0.65625
4023255,0.78125
4033263,0.8125
4043347,0.65625
